72,63,14
35,37,90
19,52,37
28,20,38
48,45,49
22,25,4
58,45,21
62,100,9
58,75,7
39,86,74
61,30,3
56,49,91
69,45,39
49,11,36
50,62,87
76,3,83
71,84,52
65,96,25
89,31,75
24,86,28
49,16,92
13,84,55
79,77,53
30,27,29
27,56,2
55,48,44
11,93,69
49,59,11
42,80,100
33,18,96
11,88,36
99,21,98
52,83,41
21,15,69
57,5,22
96,29,11
25,69,67
10,92,29
83,89,64
94,39,73
38,84,45
5,31,35
47,40,36
96,7,95
47,0,20
74,62,35
62,24,15
21,96,55
97,9,58
12,73,44
16,76,45
78,1,50
78,63,71
64,79,88
57,94,59
26,51,79
24,35,34
43,94,41
76,87,74
89,17,25
9,42,76
93,88,2
43,11,40
5,33,17
23,47,85
7,33,47
32,30,11
83,10,77
90,80,86
71,73,79
4,46,16
73,53,64
74,26,68
82,22,91
76,68,45
1,6,53
62,38,84
12,83,47
88,27,42
85,99,79
0,85,49
28,57,78
92,24,62
34,60,26
84,39,28
74,78,37
42,39,8
79,20,34
40,91,53
32,81,72
99,20,41
9,92,66
37,65,8
27,7,48
73,46,43
50,45,89
53,94,60
23,48,98
21,18,19
84,4,51
